iter	Passed	Remaining
0	7	7389
1	11	5943
2	16	5434
3	21	5245
4	25	5079
5	30	5072
6	35	4997
7	39	4894
8	43	4829
9	48	4755
10	52	4705
11	56	4651
12	60	4576
13	63	4505
14	67	4465
15	71	4422
16	76	4401
17	79	4351
18	83	4330
19	87	4285
20	91	4270
21	95	4235
22	100	4279
23	104	4262
24	107	4210
25	111	4182
26	115	4156
27	119	4137
28	123	4121
29	126	4094
30	130	4083
31	134	4055
32	138	4051
33	142	4045
34	157	4349
35	164	4416
36	172	4488
37	179	4533
38	185	4568
39	191	4590
40	197	4619
41	203	4643
42	210	4675
43	215	4684
44	220	4672
45	224	4658
46	228	4633
47	232	4610
48	236	4596
49	240	4575
50	245	4563
51	249	4548
52	253	4529
53	257	4506
54	261	4486
55	265	4471
56	269	4457
57	273	4446
58	277	4429
59	281	4415
60	285	4402
61	290	4391
62	294	4382
63	299	4376
64	304	4372
65	308	4367
66	313	4363
67	317	4351
68	321	4338
69	325	4327
70	329	4316
71	333	4303
72	337	4291
73	342	4281
74	346	4273
75	350	4262
76	354	4247
77	358	4235
78	362	4226
79	366	4217
80	370	4206
81	375	4202
82	379	4194
83	383	4183
84	387	4172
85	391	4163
86	395	4151
87	399	4142
88	403	4130
89	407	4122
90	411	4109
91	415	4100
92	419	4092
93	423	4082
94	427	4074
95	431	4066
96	436	4066
97	442	4068
98	446	4064
99	450	4054
100	454	4047
101	458	4037
102	462	4029
103	467	4025
104	471	4020
105	475	4013
106	480	4008
107	484	4001
108	487	3984
109	492	3982
110	496	3978
111	500	3971
112	505	3964
113	508	3954
114	513	3948
115	517	3945
116	526	3975
117	536	4006
118	544	4034
119	553	4061
120	563	4092
121	572	4122
122	582	4155
123	593	4189
124	604	4230
125	613	4253
126	623	4286
127	633	4313
128	643	4345
129	651	4361
130	660	4383
131	670	4412
132	679	4431
133	689	4453
134	697	4469
135	706	4490
136	716	4511
137	724	4525
138	733	4541
139	741	4557
140	753	4590
141	763	4614
142	773	4635
143	784	4664
144	790	4658
145	799	4676
146	809	4697
147	819	4716
148	828	4732
149	838	4753
150	847	4765
151	858	4787
152	865	4788
153	872	4792
154	880	4800
155	888	4804
156	897	4818
157	906	4830
158	913	4833
159	922	4841
160	931	4855
161	940	4865
162	948	4870
163	955	4869
164	962	4872
165	969	4871
166	976	4869
167	980	4855
168	985	4845
169	990	4837
170	996	4831
171	1004	4836
172	1010	4831
173	1016	4823
174	1023	4826
175	1029	4818
176	1034	4811
177	1039	4801
178	1044	4790
179	1049	4780
180	1053	4766
181	1057	4751
182	1060	4735
183	1065	4723
184	1069	4709
185	1073	4696
186	1077	4682
187	1080	4668
188	1084	4655
189	1089	4643
190	1094	4634
191	1097	4620
192	1101	4607
193	1106	4595
194	1110	4582
195	1115	4575
196	1120	4568
197	1125	4558
198	1130	4549
199	1134	4538
200	1139	4529
201	1144	4522
202	1149	4511
203	1153	4501
204	1158	4490
205	1162	4480
206	1167	4471
207	1171	4461
208	1176	4451
209	1180	4442
210	1185	4433
211	1190	4426
212	1195	4416
213	1199	4407
214	1204	4397
215	1208	4387
216	1213	4377
217	1217	4366
218	1221	4356
219	1226	4346
220	1230	4337
221	1235	4328
222	1239	4319
223	1244	4310
224	1248	4301
225	1253	4293
226	1257	4282
227	1261	4271
228	1265	4259
229	1268	4247
230	1272	4236
231	1276	4225
232	1280	4215
233	1284	4204
234	1288	4193
235	1292	4182
236	1295	4172
237	1300	4162
238	1303	4151
239	1307	4141
240	1311	4131
241	1315	4121
242	1319	4111
243	1323	4101
244	1327	4092
245	1331	4082
246	1335	4072
247	1339	4062
248	1343	4053
249	1347	4043
250	1351	4033
251	1355	4024
252	1360	4015
253	1364	4006
254	1368	3997
255	1372	3989
256	1376	3979
257	1380	3970
258	1384	3960
259	1388	3951
260	1391	3938
261	1395	3930
262	1399	3921
263	1403	3912
264	1407	3903
265	1411	3894
266	1415	3885
267	1419	3876
268	1423	3867
269	1427	3858
270	1431	3850
271	1435	3842
272	1440	3835
273	1444	3826
274	1448	3819
275	1453	3813
276	1458	3807
277	1463	3801
278	1468	3795
279	1475	3793
280	1481	3789
281	1486	3784
282	1492	3780
283	1498	3777
284	1505	3776
285	1513	3778
286	1522	3781
287	1529	3781
288	1536	3780
289	1543	3779
290	1550	3778
291	1558	3778
292	1565	3776
293	1572	3776
294	1581	3779
295	1585	3771
296	1593	3772
297	1604	3779
298	1612	3779
299	1620	3780
300	1629	3784
301	1638	3786
302	1642	3777
303	1651	3780
304	1660	3784
305	1670	3788
306	1678	3789
307	1686	3789
308	1695	3791
309	1703	3792
310	1712	3794
311	1724	3802
312	1736	3810
313	1746	3816
314	1757	3822
315	1767	3826
316	1777	3830
317	1787	3832
318	1800	3843
319	1807	3841
320	1817	3844
321	1827	3847
322	1836	3849
323	1846	3853
324	1856	3855
325	1865	3857
326	1879	3867
327	1888	3869
328	1899	3874
329	1909	3877
330	1919	3879
331	1929	3882
332	1938	3882
333	1949	3887
334	1958	3887
335	1968	3889
336	1977	3890
337	1986	3890
338	1996	3892
339	2005	3892
340	2015	3894
341	2025	3896
342	2032	3892
343	2042	3895
344	2051	3895
345	2060	3895
346	2069	3894
347	2079	3895
348	2087	3894
349	2097	3896
350	2106	3895
351	2116	3895
352	2126	3897
353	2136	3898
354	2146	3900
355	2157	3903
356	2167	3903
357	2176	3903
358	2186	3903
359	2195	3902
360	2205	3904
361	2215	3905
362	2225	3905
363	2233	3901
364	2240	3897
365	2246	3891
366	2255	3889
367	2264	3889
368	2273	3888
369	2282	3885
370	2289	3881
371	2299	3882
372	2308	3880
373	2316	3878
374	2326	3878
375	2335	3876
376	2345	3875
377	2354	3874
378	2363	3872
379	2373	3873
380	2384	3873
381	2394	3873
